timestamp;[Current com­pressor fre­quency][Hz][41778];
2025-11-06T03:32:30+00:00;50;
2025-11-06T03:34:29+00:00;49;
2025-11-06T03:37:29+00:00;46;
2025-11-06T03:40:29+00:00;43;
2025-11-06T03:41:29+00:00;42;
2025-11-06T03:43:29+00:00;40;
2025-11-06T03:46:29+00:00;37;
2025-11-06T03:48:29+00:00;36;
2025-11-06T03:50:29+00:00;33;
2025-11-06T03:51:29+00:00;32;
2025-11-06T03:54:29+00:00;29;
2025-11-06T03:56:29+00:00;27;
2025-11-06T03:58:29+00:00;26;
2025-11-06T04:00:18+00:00;26;
2025-11-06T04:00:19+00:00;58;
2025-11-06T04:11:35+00:00;58;
2025-11-06T04:11:36+00:00;85;
2025-11-06T04:16:14+00:00;24;
2025-11-06T04:20:51+00:00;23;
2025-11-06T04:23:51+00:00;20;
2025-11-06T04:33:51+00:00;0;
2025-11-06T14:08:07+00:00;0;
2025-11-06T14:08:08+00:00;91;
2025-11-06T14:41:01+00:00;90;
2025-11-06T14:58:21+00:00;0;
2025-11-06T15:06:02+00:00;0;
2025-11-06T15:06:03+00:00;90;
2025-11-06T15:21:56+00:00;80;
2025-11-06T15:34:56+00:00;52;
2025-11-06T15:35:29+00:00;0;
2025-11-06T16:54:14+00:00;0;
2025-11-06T16:54:15+00:00;85;
2025-11-06T17:10:18+00:00;88;
2025-11-06T17:12:24+00:00;0;
2025-11-06T23:08:28+00:00;0;
2025-11-06T23:08:29+00:00;21;
2025-11-06T23:10:29+00:00;24;
2025-11-06T23:11:29+00:00;24;
2025-11-06T23:14:29+00:00;27;
2025-11-06T23:15:29+00:00;28;
2025-11-06T23:18:29+00:00;31;
2025-11-06T23:20:29+00:00;33;
2025-11-06T23:22:29+00:00;35;
2025-11-06T23:24:29+00:00;37;
2025-11-06T23:27:29+00:00;40;
2025-11-06T23:29:29+00:00;42;
2025-11-06T23:31:29+00:00;44;
2025-11-06T23:32:29+00:00;45;
2025-11-06T23:35:29+00:00;48;
