timestamp;[Supply line (BT2)][°C][40008];
2025-11-08T23:18:19+00:00;27.1;
2025-11-08T23:26:47+00:00;26.1;
2025-11-08T23:31:54+00:00;25.6;
2025-11-08T23:45:39+00:00;24.6;
2025-11-09T00:03:42+00:00;23.6;
2025-11-09T00:18:24+00:00;23.1;
2025-11-09T00:27:57+00:00;25.1;
2025-11-09T00:36:34+00:00;26.1;
2025-11-09T00:44:30+00:00;27.1;
2025-11-09T00:51:49+00:00;28.1;
2025-11-09T01:01:41+00:00;29.1;
2025-11-09T01:09:05+00:00;29.6;
2025-11-09T03:26:56+00:00;29.6;
2025-11-09T04:06:36+00:00;29.6;
2025-11-09T04:06:37+00:00;52.8;
2025-11-09T04:10:07+00:00;53.8;
2025-11-09T04:13:02+00:00;54.8;
2025-11-09T04:14:29+00:00;55.3;
2025-11-09T04:18:53+00:00;28.6;
2025-11-09T04:46:51+00:00;29.6;
2025-11-09T05:22:20+00:00;29.6;
2025-11-09T09:19:00+00:00;29.6;
2025-11-09T09:19:01+00:00;35.6;
2025-11-09T09:24:44+00:00;35.6;
2025-11-09T09:24:45+00:00;46.6;
2025-11-09T09:47:31+00:00;47.6;
2025-11-09T09:54:22+00:00;48.6;
2025-11-09T09:58:26+00:00;24.6;
2025-11-09T10:10:47+00:00;23.6;
2025-11-09T10:48:38+00:00;22.6;
2025-11-09T12:39:37+00:00;21.6;
2025-11-09T14:01:48+00:00;21.6;
2025-11-09T14:01:49+00:00;38.9;
2025-11-09T14:08:52+00:00;38.9;
2025-11-09T14:08:53+00:00;51.9;
2025-11-09T14:11:36+00:00;52.9;
2025-11-09T14:26:25+00:00;52.9;
2025-11-09T14:28:54+00:00;53.4;
2025-11-09T14:33:13+00:00;54.9;
2025-11-09T14:37:42+00:00;22.2;
2025-11-09T14:38:58+00:00;22.7;
2025-11-09T15:04:57+00:00;21.7;
2025-11-09T15:45:31+00:00;21.2;
2025-11-09T17:07:27+00:00;21.2;
2025-11-09T17:07:28+00:00;52.9;
2025-11-09T17:17:20+00:00;54.9;
2025-11-09T17:21:21+00:00;22.0;
2025-11-09T17:57:43+00:00;23.0;
2025-11-09T18:07:44+00:00;23.0;
2025-11-09T18:07:45+00:00;52.6;
2025-11-09T18:09:36+00:00;53.1;
2025-11-09T18:20:31+00:00;54.6;
2025-11-09T18:25:31+00:00;22.2;
2025-11-09T19:04:49+00:00;21.2;
2025-11-09T19:21:30+00:00;23.2;
2025-11-09T19:28:59+00:00;24.2;
2025-11-09T19:37:45+00:00;25.2;
2025-11-09T19:44:37+00:00;26.2;
2025-11-09T19:51:26+00:00;26.7;
2025-11-09T19:58:06+00:00;27.7;
2025-11-09T20:04:09+00:00;28.7;
2025-11-09T20:06:40+00:00;29.2;
2025-11-09T20:14:32+00:00;30.7;
2025-11-09T20:17:42+00:00;31.2;
2025-11-09T20:26:00+00:00;32.7;
2025-11-09T20:37:57+00:00;33.2;
2025-11-09T20:53:39+00:00;34.2;
2025-11-09T21:02:36+00:00;34.7;
2025-11-09T21:35:08+00:00;31.2;
2025-11-09T21:36:50+00:00;30.7;
2025-11-09T21:43:43+00:00;33.2;
2025-11-09T21:54:59+00:00;34.2;
2025-11-09T22:25:56+00:00;33.7;
2025-11-09T22:38:39+00:00;32.7;
2025-11-09T23:00:07+00:00;31.2;
2025-11-09T23:18:25+00:00;31.7;
2025-11-09T23:36:15+00:00;33.2;
2025-11-09T23:39:44+00:00;33.7;
2025-11-09T23:47:20+00:00;34.7;
2025-11-09T23:51:30+00:00;35.2;
2025-11-10T00:02:32+00:00;36.2;
2025-11-10T00:17:42+00:00;37.7;
2025-11-10T00:47:57+00:00;37.2;
2025-11-10T00:58:12+00:00;36.7;
2025-11-10T01:08:50+00:00;35.7;
2025-11-10T01:16:10+00:00;34.7;
2025-11-10T01:31:12+00:00;33.2;
2025-11-10T01:38:29+00:00;32.7;
2025-11-10T02:05:14+00:00;31.7;
2025-11-10T02:55:56+00:00;30.7;
2025-11-10T03:48:51+00:00;31.7;
2025-11-10T04:05:49+00:00;31.7;
2025-11-10T04:05:50+00:00;52.8;
2025-11-10T04:09:13+00:00;53.8;
2025-11-10T04:10:21+00:00;54.3;
2025-11-10T04:13:40+00:00;55.3;
2025-11-10T04:17:11+00:00;36.1;
2025-11-10T04:18:30+00:00;30.9;
2025-11-10T04:37:48+00:00;31.9;
2025-11-10T05:09:01+00:00;30.9;
2025-11-10T05:26:07+00:00;28.4;
2025-11-10T05:30:33+00:00;27.9;
2025-11-10T05:38:12+00:00;26.9;
2025-11-10T05:53:23+00:00;25.4;
2025-11-10T06:00:57+00:00;24.9;
2025-11-10T06:19:19+00:00;23.9;
2025-11-10T06:35:16+00:00;23.4;
2025-11-10T07:47:06+00:00;21.9;
2025-11-10T08:08:00+00:00;22.0;
2025-11-10T10:33:10+00:00;20.4;
2025-11-10T11:38:02+00:00;22.4;
2025-11-10T11:43:45+00:00;23.4;
2025-11-10T11:46:56+00:00;23.9;
2025-11-10T11:52:06+00:00;24.9;
2025-11-10T12:01:15+00:00;26.4;
2025-11-10T12:09:07+00:00;27.4;
2025-11-10T12:17:49+00:00;28.4;
2025-11-10T12:23:10+00:00;28.9;
2025-11-10T12:38:25+00:00;29.9;
2025-11-10T12:47:39+00:00;30.4;
2025-11-10T13:01:10+00:00;30.4;
2025-11-10T13:01:11+00:00;44.4;
2025-11-10T13:05:20+00:00;46.9;
2025-11-10T13:10:32+00:00;47.4;
2025-11-10T13:16:06+00:00;48.4;
2025-11-10T13:20:34+00:00;25.2;
2025-11-10T13:43:27+00:00;23.7;
2025-11-10T13:51:38+00:00;23.2;
2025-11-10T14:06:17+00:00;23.2;
2025-11-10T14:06:18+00:00;51.3;
2025-11-10T14:08:22+00:00;52.3;
2025-11-10T14:14:19+00:00;53.3;
2025-11-10T14:15:35+00:00;53.8;
2025-11-10T14:21:04+00:00;55.3;
2025-11-10T14:25:43+00:00;22.7;
2025-11-10T14:40:52+00:00;22.7;
2025-11-10T15:16:19+00:00;21.7;
2025-11-10T16:23:07+00:00;20.7;
2025-11-10T16:44:17+00:00;20.7;
2025-11-10T16:44:18+00:00;26.8;
2025-11-10T16:54:17+00:00;26.8;
2025-11-10T16:54:18+00:00;52.6;
2025-11-10T17:06:13+00:00;53.1;
2025-11-10T17:09:49+00:00;48.6;
2025-11-10T17:14:16+00:00;48.6;
2025-11-10T17:18:21+00:00;51.1;
2025-11-10T17:22:01+00:00;52.1;
2025-11-10T17:40:53+00:00;53.1;
2025-11-10T17:52:05+00:00;20.7;
2025-11-10T17:53:51+00:00;21.2;
2025-11-10T17:59:43+00:00;21.2;
2025-11-10T17:59:44+00:00;49.6;
2025-11-10T18:05:32+00:00;53.1;
2025-11-10T18:14:24+00:00;54.6;
2025-11-10T18:15:59+00:00;55.1;
2025-11-10T18:21:52+00:00;25.4;
2025-11-10T18:25:00+00:00;25.9;
2025-11-10T18:30:47+00:00;27.4;
2025-11-10T18:34:30+00:00;27.4;
2025-11-10T18:34:31+00:00;37.1;
2025-11-10T18:43:37+00:00;37.1;
2025-11-10T18:43:38+00:00;51.1;
2025-11-10T18:44:52+00:00;52.1;
2025-11-10T18:54:32+00:00;52.1;
2025-11-10T19:02:00+00:00;53.1;
2025-11-10T19:22:14+00:00;53.6;
2025-11-10T19:28:37+00:00;55.1;
2025-11-10T19:33:20+00:00;25.9;
2025-11-10T19:37:13+00:00;26.9;
2025-11-10T19:40:00+00:00;27.9;
2025-11-10T19:41:40+00:00;28.4;
2025-11-10T19:46:11+00:00;29.4;
2025-11-10T19:49:52+00:00;30.4;
2025-11-10T19:53:58+00:00;31.4;
2025-11-10T19:58:25+00:00;32.4;
2025-11-10T20:04:09+00:00;33.4;
2025-11-10T20:11:06+00:00;34.4;
2025-11-10T20:16:59+00:00;34.9;
2025-11-10T20:50:16+00:00;33.4;
