timestamp;[Con­denser (BT12)][°C][40017];
2025-11-25T04:55:34+00:00;36.3;
2025-11-25T04:59:23+00:00;36.3;
2025-11-25T04:59:24+00:00;43.4;
2025-11-25T05:01:01+00:00;42.4;
2025-11-25T05:08:14+00:00;42.9;
2025-11-25T05:11:15+00:00;43.4;
2025-11-25T05:13:50+00:00;43.9;
2025-11-25T06:07:33+00:00;37.1;
2025-11-25T06:09:08+00:00;36.6;
2025-11-25T06:10:35+00:00;36.1;
2025-11-25T06:14:34+00:00;36.1;
2025-11-25T06:14:35+00:00;43.2;
2025-11-25T06:16:34+00:00;42.2;
Tue Nov 25 2025 07:18:42 GMT+0100 (Central European Standard Time);42.2;
