timestamp;[Value air veloc­ity sensor (BS1)][][42782];
2025-11-24T13:37:18+00:00;194.0;
2025-11-24T13:39:59+00:00;193.0;
2025-11-24T13:42:20+00:00;194.0;
2025-11-24T13:44:47+00:00;192.0;
2025-11-24T13:46:17+00:00;192.0;
2025-11-24T13:50:32+00:00;190.9;
2025-11-24T13:52:55+00:00;191.9;
2025-11-24T13:55:16+00:00;190.9;
2025-11-24T13:57:21+00:00;189.9;
2025-11-24T14:00:23+00:00;189.9;
2025-11-24T14:01:41+00:00;188.9;
2025-11-24T14:06:27+00:00;185.9;
2025-11-24T14:08:45+00:00;183.8;
2025-11-24T14:12:45+00:00;181.7;
2025-11-24T14:16:30+00:00;181.7;
2025-11-24T14:16:31+00:00;194.7;
2025-11-24T14:17:45+00:00;195.7;
2025-11-24T14:19:50+00:00;196.8;
2025-11-24T14:22:19+00:00;197.8;
2025-11-24T14:23:37+00:00;197.8;
2025-11-24T14:25:36+00:00;198.8;
2025-11-24T14:27:58+00:00;197.8;
2025-11-24T14:28:47+00:00;197.8;
2025-11-24T14:35:20+00:00;198.8;
2025-11-24T14:37:43+00:00;201.8;
2025-11-24T14:38:33+00:00;200.8;
2025-11-24T14:41:21+00:00;199.8;
2025-11-24T14:43:09+00:00;200.8;
2025-11-24T14:43:48+00:00;200.8;
2025-11-24T14:47:31+00:00;200.7;
2025-11-24T14:50:02+00:00;200.8;
2025-11-24T14:52:15+00:00;201.8;
2025-11-24T14:53:16+00:00;201.8;
2025-11-24T14:56:44+00:00;200.9;
2025-11-24T14:58:40+00:00;200.9;
2025-11-24T15:00:19+00:00;201.9;
2025-11-24T15:02:30+00:00;201.9;
2025-11-24T15:02:55+00:00;200.9;
2025-11-24T15:05:36+00:00;200.9;
2025-11-24T15:07:06+00:00;199.9;
2025-11-24T15:09:55+00:00;198.9;
2025-11-24T15:12:31+00:00;199.9;
2025-11-24T15:13:03+00:00;198.9;
2025-11-24T15:17:15+00:00;198.9;
2025-11-24T15:18:47+00:00;199.9;
2025-11-24T15:20:56+00:00;199.9;
2025-11-24T15:24:15+00:00;196.9;
2025-11-24T15:27:46+00:00;188.9;
2025-11-24T15:30:45+00:00;192.9;
2025-11-24T15:32:44+00:00;190.9;
2025-11-24T15:33:42+00:00;190.9;
2025-11-24T15:34:54+00:00;189.9;
2025-11-24T15:36:46+00:00;188.9;
2025-11-24T15:42:25+00:00;189.9;
2025-11-24T15:44:40+00:00;190.9;
2025-11-24T15:47:04+00:00;188.9;
2025-11-24T15:49:32+00:00;188.9;
2025-11-24T15:50:42+00:00;189.9;
2025-11-24T15:53:15+00:00;187.9;
2025-11-24T15:53:31+00:00;186.9;
2025-11-24T15:57:55+00:00;184.8;
2025-11-24T16:02:29+00:00;183.8;
2025-11-24T16:05:09+00:00;181.7;
2025-11-24T16:08:12+00:00;182.7;
2025-11-24T16:08:33+00:00;181.7;
2025-11-24T16:10:51+00:00;180.7;
2025-11-24T16:13:22+00:00;180.7;
2025-11-24T16:18:02+00:00;180.7;
2025-11-24T16:18:03+00:00;194.9;
2025-11-24T16:19:37+00:00;194.9;
2025-11-24T16:21:50+00:00;194.9;
2025-11-24T16:23:32+00:00;196.9;
2025-11-24T16:25:29+00:00;197.9;
2025-11-24T16:28:04+00:00;196.9;
2025-11-24T16:33:35+00:00;196.9;
2025-11-24T16:36:24+00:00;197.9;
2025-11-24T16:38:46+00:00;196.9;
2025-11-24T16:40:06+00:00;195.9;
2025-11-24T16:42:52+00:00;198.9;
2025-11-24T16:45:29+00:00;197.9;
2025-11-24T16:47:21+00:00;198.9;
2025-11-24T16:49:02+00:00;196.9;
2025-11-24T16:49:51+00:00;197.9;
2025-11-24T16:52:58+00:00;197.9;
2025-11-24T16:59:08+00:00;199.9;
2025-11-24T16:59:45+00:00;198.9;
2025-11-24T17:01:37+00:00;198.9;
2025-11-24T17:05:49+00:00;197.9;
2025-11-24T17:07:11+00:00;196.9;
2025-11-24T17:09:16+00:00;197.9;
2025-11-24T17:12:34+00:00;196.8;
2025-11-24T17:13:39+00:00;197.8;
2025-11-24T17:14:49+00:00;195.8;
2025-11-24T17:16:57+00:00;198.8;
2025-11-24T17:18:23+00:00;196.8;
2025-11-24T17:20:17+00:00;197.8;
2025-11-24T17:24:08+00:00;198.8;
2025-11-24T17:24:29+00:00;197.8;
2025-11-24T17:28:40+00:00;198.8;
2025-11-24T17:31:34+00:00;197.8;
2025-11-24T17:35:09+00:00;198.8;
2025-11-24T17:36:40+00:00;196.8;
2025-11-24T17:39:24+00:00;195.7;
2025-11-24T17:40:38+00:00;196.7;
2025-11-24T17:42:24+00:00;195.7;
2025-11-24T17:44:23+00:00;193.7;
2025-11-24T17:46:07+00:00;194.7;
2025-11-24T17:46:55+00:00;192.7;
2025-11-24T17:48:30+00:00;191.7;
2025-11-24T17:49:52+00:00;190.7;
2025-11-24T17:51:28+00:00;189.7;
2025-11-24T17:53:15+00:00;188.7;
2025-11-24T17:54:08+00:00;187.7;
2025-11-24T17:55:28+00:00;186.7;
2025-11-24T17:58:31+00:00;183.7;
2025-11-24T17:59:48+00:00;182.7;
2025-11-24T18:04:00+00:00;180.7;
2025-11-24T18:08:45+00:00;180.7;
